,Id1,Id2,Type of Content
284,cinbengalsJB9,TonyKnowsBall,RT
285,cinbengalsJB9,gosuprime21,RT
286,cinbengalsJB9,LazyMxtt,RT
287,cinbengalsJB9,ppotterta,RT
288,cinbengalsJB9,MediaLiarz,RT
288,cinbengalsJB9,tkelce,RT
288,cinbengalsJB9,PatrickMahomes,RT
288,cinbengalsJB9,BrittanyLynne,RT
289,cinbengalsJB9,GetYoShinebox,RT
291,cinbengalsJB9,CINClothingCo,RT
292,cinbengalsJB9,punkrockdub,RT
293,cinbengalsJB9,VARGASSZNN,RT
294,cinbengalsJB9,Thomas_Buckeye5,RT
295,cinbengalsJB9,DatFrostyOne,RT
296,cinbengalsJB9,Cromezn,RT
297,DonBrow77958233,NFL,Mention
297,DonBrow77958233,TomBrady,Mention
298,cinbengalsJB9,curtisxu,RT
299,cinbengalsJB9,Pi_sulaiman,RT
300,jayspartan20,MasterAtWorkinc,RT
302,Layne__w,FormerNFLFan789,RT
303,texaskid4life,MasterAtWorkinc,RT
306,floydianship,MasterAtWorkinc,RT
307,BornCincyFan,nflcommish,Mention
307,BornCincyFan,NFL,Mention
308,MasterAtWorkinc,MasterAtWorkinc,RT
309,PropMclaughlin_,Mikechanginvest,RT
310,THE_GRAYF0X,JoeGoodberry,Mention
310,THE_GRAYF0X,nfl,Mention
311,NoDiiscussiion,CoachOBrien,Mention
311,NoDiiscussiion,WokeThuney,Mention
311,NoDiiscussiion,NFL_DovKleiman,Mention
311,NoDiiscussiion,Real10jayy__,Mention
312,Pqranold,edits841,RT
314,WTFinSoCal,heyjacqui_,Mention
315,FormerNFLFan789,THE_GRAYF0X,RT
315,FormerNFLFan789,nfl,RT
315,FormerNFLFan789,NFLOfficiating,RT
315,FormerNFLFan789,nflcommish,RT
317,THE_GRAYF0X,nfl,Mention
317,THE_GRAYF0X,NFLOfficiating,Mention
317,THE_GRAYF0X,nflcommish,Mention
318,jackihillis22,DonCoop20,Mention
318,jackihillis22,PFTCommenter,Mention
318,jackihillis22,ArianFoster,Mention
320,KecksterFal,_willcompton,Mention
321,SkylerBertram1,VivaLaStool,RT
321,SkylerBertram1,ArianFoster,RT
321,SkylerBertram1,MacrodosingPod,RT
322,RicoMuscatel,NFLonFOX,Mention
322,RicoMuscatel,Chiefs,Mention
322,RicoMuscatel,Eagles,Mention
323,EspressoJose,tipico,Mention
324,thetadrivium,Throwback420,RT
325,thetadrivium,GetYoShinebox,RT
327,plingon11,Readitandweep2,Mention
329,Jan11555,taufikl,Mention
330,SpadedLord,midwest_fancy,RT
332,Dwheel_14,NFL,Mention
332,Dwheel_14,NFLonFOX,Mention
332,Dwheel_14,NFLFilms,Mention
332,Dwheel_14,Chiefs,Mention
332,Dwheel_14,Bengals,Mention
333,ubok1978,Kramed67037,Mention
333,ubok1978,GottliebShow,Mention
334,Viyapoo,WWERuthlessEra,RT
335,punkrockdub,GeneSteratore,Mention
336,Lvnd00,NFL,Mention
336,Lvnd00,nflnetwork,Mention
336,Lvnd00,ESPNNFL,Mention
339,ubok1978,Aftermath_KC,Mention
340,BREAK_BoyAplus,FormerNFLFan789,RT
342,SpikeTheNews2,FormerNFLFan789,RT
343,Lisa20271524,Sir_Saint1,RT
344,ayoo_noah,FormerNFLFan789,RT
345,ayoo_noah,edits841,RT
346,FormerNFLFan789,edits841,RT
347,BenLineback,FormerNFLFan789,RT
349,edits841,FormerNFLFan789,RT
350,phee2_mc,FormerNFLFan789,RT
351,InkyBri,NFL,Mention
352,DigitalPtGuard,FormerNFLFan789,RT
354,SiefkenRobert,AdamSchefter,Mention
355,grandadteddy,AdamSchefter,Mention
357,LordShaq2,FormerNFLFan789,RT
358,Shadology101,FormerNFLFan789,RT
359,DanielMusto10,FormerNFLFan789,RT
361,cammarshallfilm,TH3_GOD_,Mention
361,cammarshallfilm,YoungAngel_,Mention
361,cammarshallfilm,FirstTake,Mention
361,cammarshallfilm,MikeFrancesa,Mention
362,FormerNFLFan789,MAGAMAN858,RT
362,FormerNFLFan789,NFL,RT
363,FormerNFLFan789,BornCincyFan,RT
363,FormerNFLFan789,nflcommish,RT
363,FormerNFLFan789,NFL,RT
366,FootballFan734,nflcommish,Mention
367,wtondo,TheHouse_Ent,RT
368,_TheZyro,barstoolsports,RT
371,MAGAMAN858,NFL,Mention
372,Piersky65,realAlexRWagner,RT
373,_VictorChaos,Billyhottakes,Mention
373,_VictorChaos,PFN365,Mention
374,THE_GRAYF0X,WilliamScottDe3,Mention
374,THE_GRAYF0X,GottliebShow,Mention
375,THE_GRAYF0X,NFL,Mention
376,SiefkenRobert,Chiefs,Mention
378,rusteezeworld,WorimiFella,RT
378,rusteezeworld,Bengals,RT
379,Gruelingtruth,thebengalorian,Mention
379,Gruelingtruth,TheBengalsWire,Mention
379,Gruelingtruth,WhoDey_UK,Mention
379,Gruelingtruth,BengalsNation8,Mention
379,Gruelingtruth,moose196850,Mention
379,Gruelingtruth,WhoooDeyy,Mention
379,Gruelingtruth,BengalsTalk,Mention
380,WilliamScottDe3,GottliebShow,Mention
382,ChadJobe2,ShereeWLWT,Mention
383,9thwdleekilla,Throwback420,RT
384,cinbengalsJB9,TonyKnowsBall,RT
385,cinbengalsJB9,gosuprime21,RT
386,cinbengalsJB9,LazyMxtt,RT
387,cinbengalsJB9,ppotterta,RT
388,cinbengalsJB9,MediaLiarz,RT
388,cinbengalsJB9,tkelce,RT
388,cinbengalsJB9,PatrickMahomes,RT
388,cinbengalsJB9,BrittanyLynne,RT
389,cinbengalsJB9,GetYoShinebox,RT
391,cinbengalsJB9,CINClothingCo,RT
392,cinbengalsJB9,punkrockdub,RT
393,cinbengalsJB9,VARGASSZNN,RT
394,cinbengalsJB9,Thomas_Buckeye5,RT
395,cinbengalsJB9,DatFrostyOne,RT
396,cinbengalsJB9,Cromezn,RT
397,DonBrow77958233,NFL,Mention
397,DonBrow77958233,TomBrady,Mention
398,cinbengalsJB9,curtisxu,RT
399,cinbengalsJB9,Pi_sulaiman,RT
400,jayspartan20,MasterAtWorkinc,RT
402,Layne__w,FormerNFLFan789,RT
403,texaskid4life,MasterAtWorkinc,RT
406,floydianship,MasterAtWorkinc,RT
407,BornCincyFan,nflcommish,Mention
407,BornCincyFan,NFL,Mention
408,MasterAtWorkinc,MasterAtWorkinc,RT
409,PropMclaughlin_,Mikechanginvest,RT
410,THE_GRAYF0X,JoeGoodberry,Mention
410,THE_GRAYF0X,nfl,Mention
411,NoDiiscussiion,CoachOBrien,Mention
411,NoDiiscussiion,WokeThuney,Mention
411,NoDiiscussiion,NFL_DovKleiman,Mention
411,NoDiiscussiion,Real10jayy__,Mention
412,Pqranold,edits841,RT
414,WTFinSoCal,heyjacqui_,Mention
415,FormerNFLFan789,THE_GRAYF0X,RT
415,FormerNFLFan789,nfl,RT
415,FormerNFLFan789,NFLOfficiating,RT
415,FormerNFLFan789,nflcommish,RT
417,THE_GRAYF0X,nfl,Mention
417,THE_GRAYF0X,NFLOfficiating,Mention
417,THE_GRAYF0X,nflcommish,Mention
418,jackihillis22,DonCoop20,Mention
418,jackihillis22,PFTCommenter,Mention
418,jackihillis22,ArianFoster,Mention
420,KecksterFal,_willcompton,Mention
421,SkylerBertram1,VivaLaStool,RT
421,SkylerBertram1,ArianFoster,RT
421,SkylerBertram1,MacrodosingPod,RT
422,RicoMuscatel,NFLonFOX,Mention
422,RicoMuscatel,Chiefs,Mention
422,RicoMuscatel,Eagles,Mention
423,EspressoJose,tipico,Mention
424,thetadrivium,Throwback420,RT
425,thetadrivium,GetYoShinebox,RT
427,plingon11,Readitandweep2,Mention
429,Jan11555,taufikl,Mention
430,SpadedLord,midwest_fancy,RT
432,Dwheel_14,NFL,Mention
432,Dwheel_14,NFLonFOX,Mention
432,Dwheel_14,NFLFilms,Mention
432,Dwheel_14,Chiefs,Mention
432,Dwheel_14,Bengals,Mention
433,ubok1978,Kramed67037,Mention
433,ubok1978,GottliebShow,Mention
434,Viyapoo,WWERuthlessEra,RT
435,punkrockdub,GeneSteratore,Mention
436,Lvnd00,NFL,Mention
436,Lvnd00,nflnetwork,Mention
436,Lvnd00,ESPNNFL,Mention
439,ubok1978,Aftermath_KC,Mention
440,BREAK_BoyAplus,FormerNFLFan789,RT
442,SpikeTheNews2,FormerNFLFan789,RT
